Hours,Megawatts,Label
0,9852.0,Actual_MW
1,9829.0,Actual_MW
2,9807.0,Actual_MW
3,9629.0,Actual_MW
4,9592.0,Actual_MW
5,9685.0,Actual_MW
6,10726.0,Actual_MW
7,10743.0,Actual_MW
8,10646.0,Actual_MW
9,10256.0,Actual_MW
10,9721.0,Actual_MW
11,9306.0,Actual_MW
12,8655.0,Actual_MW
13,8273.0,Actual_MW
14,7963.0,Actual_MW
15,7862.0,Actual_MW
16,7759.0,Actual_MW
17,8097.0,Actual_MW
18,8404.0,Actual_MW
19,8546.0,Actual_MW
20,9839.0,Actual_MW
21,11123.0,Actual_MW
22,11855.0,Actual_MW
23,12372.0,Actual_MW
24,12280.0,Actual_MW
25,12305.0,Actual_MW
26,12705.0,Actual_MW
27,12523.0,Actual_MW
28,12282.0,Actual_MW
29,11861.0,Actual_MW
30,12383.0,Actual_MW
31,12095.0,Actual_MW
32,11805.0,Actual_MW
33,11397.0,Actual_MW
34,10784.0,Actual_MW
35,10110.0,Actual_MW
36,9622.0,Actual_MW
37,9218.0,Actual_MW
38,8899.0,Actual_MW
39,8692.0,Actual_MW
40,8552.0,Actual_MW
41,8845.0,Actual_MW
42,9000.0,Actual_MW
43,8942.0,Actual_MW
44,9980.0,Actual_MW
45,11382.0,Actual_MW
46,12031.0,Actual_MW
47,12416.0,Actual_MW
48,12152.0,Actual_MW
49,12117.0,Actual_MW
50,12562.0,Actual_MW
51,12426.0,Actual_MW
52,12196.0,Actual_MW
53,11839.0,Actual_MW
54,12429.0,Actual_MW
55,12144.0,Actual_MW
56,11984.0,Actual_MW
57,11525.0,Actual_MW
58,10887.0,Actual_MW
59,10127.0,Actual_MW
0,9854.90625,Predicted_MW
1,9905.7763671875,Predicted_MW
2,9957.1787109375,Predicted_MW
3,9770.509765625,Predicted_MW
4,9495.7998046875,Predicted_MW
5,9521.0263671875,Predicted_MW
6,10545.9482421875,Predicted_MW
7,10657.6201171875,Predicted_MW
8,10638.44921875,Predicted_MW
9,10374.740234375,Predicted_MW
10,9883.4013671875,Predicted_MW
11,9188.529296875,Predicted_MW
12,8651.8984375,Predicted_MW
13,8415.4658203125,Predicted_MW
14,8053.4716796875,Predicted_MW
15,7771.2568359375,Predicted_MW
16,7654.18359375,Predicted_MW
17,8007.22119140625,Predicted_MW
18,8240.18359375,Predicted_MW
19,8439.3896484375,Predicted_MW
20,9599.4052734375,Predicted_MW
21,11111.279296875,Predicted_MW
22,12095.7109375,Predicted_MW
23,12522.0791015625,Predicted_MW
24,12156.248046875,Predicted_MW
25,12098.6767578125,Predicted_MW
26,12583.76171875,Predicted_MW
27,12614.310546875,Predicted_MW
28,12483.4248046875,Predicted_MW
29,12119.2138671875,Predicted_MW
30,12473.5625,Predicted_MW
31,12045.119140625,Predicted_MW
32,11732.1494140625,Predicted_MW
33,11348.775390625,Predicted_MW
34,10723.2060546875,Predicted_MW
35,10111.6044921875,Predicted_MW
36,9605.3525390625,Predicted_MW
37,9184.5283203125,Predicted_MW
38,8906.955078125,Predicted_MW
39,8652.587890625,Predicted_MW
40,8578.025390625,Predicted_MW
41,8838.8212890625,Predicted_MW
42,8913.1259765625,Predicted_MW
43,9033.3916015625,Predicted_MW
44,10241.8369140625,Predicted_MW
45,11350.7509765625,Predicted_MW
46,11940.7802734375,Predicted_MW
47,12545.43359375,Predicted_MW
48,12161.9697265625,Predicted_MW
49,12178.376953125,Predicted_MW
50,12567.951171875,Predicted_MW
51,12400.1796875,Predicted_MW
52,12244.2392578125,Predicted_MW
53,11948.021484375,Predicted_MW
54,12450.0693359375,Predicted_MW
55,12034.390625,Predicted_MW
56,11779.818359375,Predicted_MW
57,11396.7119140625,Predicted_MW
58,10856.541015625,Predicted_MW
59,10209.6240234375,Predicted_MW
